StaffID,Name,Date Employed,Salary,Date of Birth,Gender,Department,Location,Rating
Stf308774,Katya Hundy,6/5/2010,7000,12/18/1989,Male,Business Development,Kaduna,Poor
Stf841090,Wyn Treadger,6/6/2010,24000,12/21/1994,Female,Business Development,Abuja,Average
Stf478660,Orton Livick,6/7/2010,88000,12/25/1978,Male,Cxc,Abuja,Average
Stf428792,Haven Belward,6/8/2010,92000,12/18/1989,Male,Finance,Lagos,Good
Stf464474,Yasmeen Klimkiewich,6/9/2010,58000,12/27/1970,Female,Legal,Abuja,Very Good
Stf426864,Kristofor Powner,6/10/2010,37000,12/25/1976,Male,Safety,Lagos,Average
Stf240672,Phillipp Nekrews,6/11/2010,28000,12/19/1970,Male,Human Resources,Kaduna,Very Good
Stf326804,Delora Arendt,6/12/2010,88000,12/25/1979,Female,Marketing,Abuja,Good
Stf921652,Archibaldo Denny,6/13/2010,51000,12/22/1991,Female,Product,Lagos,Not Rated
Stf837395,Jeane Blaszczak,6/14/2010,90000,12/20/1999,Female,Engineering,Lagos,Good
Stf922692,Codi Beck,6/15/2010,78000,12/23/1987,Female,Business Development,Lagos,Poor
Stf608143,Faunie Sinton,6/16/2010,32000,12/18/1989,Female,Sales,Abuja,Good
Stf445885,Nicol Giacomi,6/17/2010,51000,12/23/1986,Female,Training,Kaduna,Average
Stf377713,Crawford Scad,6/18/2010,88000,12/19/1970,Male,Human Resources,Lagos,Average
Stf791079,Vassili Flay,6/19/2010,6000,12/25/1978,,Sales,Abuja,Average
Stf147369,Halimeda Kuscha,6/20/2010,99000,12/22/1990,Female,Engineering,Abuja,Poor
Stf291812,Charmaine Howie,6/21/2010,13000,12/21/1992,Male,Finance,Kaduna,Poor
Stf179409,Norrie Grahl,6/22/2010,64000,12/24/1980,,Business Development,Abuja,Poor
Stf376252,Ulick Maingot,6/23/2010,40000,12/19/1970,Female,Cxc,Kaduna,Average
Stf420605,Millie Fiveash,6/24/2010,67000,12/27/1971,Female,Sales,Kaduna,Average
Stf153133,Kayley Southwell,6/25/2010,32000,12/23/1985,Female,Marketing,Kaduna,Average
Stf150639,Reena McKernan,6/26/2010,24000,12/19/1982,Female,Marketing,Kaduna,Average
Stf222694,Seward Kubera,6/27/2010,27000,12/25/1977,Male,Engineering,Abuja,Very Good
Stf555538,Rois Garrigan,6/28/2010,61000,12/18/1989,Male,Finance,Kaduna,Poor
Stf412613,Euell Willoughley,6/29/2010,90000,12/23/1985,Male,Product,Kaduna,Very Good
Stf326117,Lindi Morfey,6/30/2010,5000,12/23/1987,Male,Training,Kaduna,Good
Stf438949,Gradey Litton,7/1/2010,74000,12/25/1977,Female,Finance,Kaduna,Good
Stf481414,Iris Wagg,7/2/2010,12000,12/19/1970,Female,,Kaduna,Average
Stf792077,Angeline Christophersen,7/3/2010,8000,12/22/1989,Female,Engineering,Kaduna,Average
Stf417125,Farrel Vanyatin,7/4/2010,17000,12/24/1983,Male,Safety,Lagos,Average
Stf247625,Kienan Epinay,7/5/2010,4000,12/19/1982,Male,Marketing,Kaduna,Poor
Stf479045,Aloisia Minto,7/6/2010,1000,12/17/1988,Male,Sales,Abuja,Good
Stf802414,Melisa Knott,7/7/2010,97000,12/20/1996,Female,Training,Kaduna,Average
Stf261503,Koral Gerriet,7/8/2010,97000,12/18/1989,Male,Safety,Abuja,Average
Stf235392,Constantino Espley,7/9/2010,4000,12/18/1989,Male,Finance,Abuja,Average
Stf730803,Desi Peniman,7/10/2010,9000,12/19/1970,Female,Legal,Lagos,Average
Stf193575,Torrance Collier,7/11/2010,8000,12/23/1987,Female,Training,Lagos,Good
Stf273656,Ede Mignot,7/12/2010,61000,12/24/1981,Female,Sales,Kaduna,Good
Stf102982,Marcia Muldrew,7/13/2010,74000,12/23/1987,Female,Sales,Lagos,Good
Stf870624,Quintina Kilgannon,7/14/2010,71000,12/23/1984,Female,Legal,Kaduna,Poor
Stf304574,Peria Revey,7/15/2010,80000,12/24/1982,,Engineering,Kaduna,Good
Stf994551,Carry Loblie,7/16/2010,50000,12/24/1982,Female,Sales,Kaduna,Average
Stf915191,Isadora Maunsell,7/17/2010,79000,12/24/1982,Male,Sales,Abuja,Average
Stf434006,Tamara Couvet,7/18/2010,22000,12/18/1989,Female,Engineering,Abuja,Average
Stf913488,Von Boeter,7/19/2010,90000,12/24/1982,Male,Product,Lagos,Good
Stf841717,Forester Feakins,7/20/2010,80000,12/22/1990,Male,Business Development,Abuja,Average
Stf150875,Gardy Eckersall,7/21/2010,99000,12/21/1995,Male,Sales,Kaduna,Good
Stf208010,Gamaliel Ewins,7/22/2010,50000,12/26/1975,Male,Product,Abuja,Average
Stf687454,Win Arthurs,7/23/2010,5000,12/22/1988,Female,Safety,Abuja,Average
Stf159246,Richy Gray,7/24/2010,96000,12/18/1989,Female,Product,Kaduna,Very Good
Stf252955,Patricia Dwelly,7/25/2010,76000,12/25/1979,Male,Finance,Lagos,Poor
Stf881259,Erv Balmann,7/26/2010,42000,12/25/1976,Female,Cxc,Lagos,Very Good
Stf332674,Demetria Le Estut,7/27/2010,33000,12/23/1984,Female,Safety,Abuja,Very Poor
Stf767792,Deedee Ciotto,7/28/2010,19000,12/25/1978,Male,,Lagos,Poor
Stf978412,Evanne Sheryn,7/29/2010,66000,12/25/1979,Female,Cxc,Abuja,Average
Stf793938,Collette Blackaller,7/30/2010,39000,12/22/1991,Female,Human Resources,Kaduna,Good
Stf344412,Mariann Mowat,7/31/2010,67000,12/22/1991,Male,Marketing,Kaduna,Good
Stf114572,Tabbatha Pickston,8/1/2010,96000,12/19/1970,Male,Marketing,Abuja,Average
Stf748293,Vlad Strangeway,8/2/2010,92000,12/21/1992,Male,Product,Abuja,Good
Stf887795,Duky Wallace,8/3/2010,84000,12/27/1971,Male,Business Development,Kaduna,Average
Stf556993,Townie Dongall,8/4/2010,44000,12/26/1974,Male,Legal,Kaduna,Not Rated
Stf723365,Shana Bewly,8/5/2010,50000,12/19/1970,Female,Legal,Abuja,Poor
Stf697704,Mick Tanguy,8/6/2010,88000,12/23/1984,Female,Sales,Lagos,Good
Stf656141,Tadio Audritt,8/7/2010,68000,12/26/1972,,Human Resources,Abuja,Average
Stf593807,Torey Rosell,8/8/2010,85000,12/25/1977,Male,Finance,Kaduna,Average
Stf744514,Chrisy Kyme,8/9/2010,33000,12/19/1982,Female,Marketing,Lagos,Very Good
Stf625815,Morten Dumphy,8/10/2010,53000,12/21/1992,Male,Legal,Kaduna,Poor
Stf393849,Issy McLevie,8/11/2010,87000,12/26/1975,Male,Sales,Kaduna,Poor
Stf317305,Michaeline Capehorn,8/12/2010,53000,12/23/1984,Female,Safety,Lagos,Poor
Stf704921,Corny Linturn,8/13/2010,70000,12/27/1970,Female,Product,Kaduna,Poor
Stf345859,Berny Bastide,8/14/2010,100000,12/24/1983,,Sales,Kaduna,Average
Stf747354,Aindrea Lenormand,8/15/2010,88000,12/23/1987,Female,Human Resources,Abuja,Good
Stf279000,Nels McClounan,8/16/2010,100000,12/24/1982,Male,Training,Abuja,Average
Stf358055,Shanon Deverell,8/17/2010,15000,12/22/1988,Female,Sales,Lagos,Very Good
Stf135131,Vaughn Carvill,8/18/2010,8000,12/20/1996,Female,Training,Lagos,Average
Stf464655,Kora Allebone,8/19/2010,18000,12/24/1981,Female,Legal,Lagos,Not Rated
Stf369469,Millard Brakewell,8/20/2010,17000,12/26/1975,Male,Product,Kaduna,Good
Stf933944,Lizzie Mullally,8/21/2010,99000,12/20/1999,Male,Safety,Kaduna,Average
Stf284987,Florie Tortoise,8/22/2010,67000,12/20/1999,Female,Sales,Abuja,Average
Stf445311,Caro Chappel,8/23/2010,77000,12/20/1996,Female,Sales,Kaduna,Average
Stf268349,Letisha Carrett,8/24/2010,82000,12/27/1971,Female,Sales,Abuja,Very Poor
Stf189180,Melva Jickells,8/25/2010,78000,12/27/1969,Female,Product,Lagos,Poor
Stf650849,Sadie Ratt,8/26/2010,32000,12/21/1993,Male,,Lagos,Good
Stf590447,Riccardo Hagan,8/27/2010,66000,12/20/1996,Male,Human Resources,Abuja,Average
Stf794344,Chauncey Schild,8/28/2010,15000,12/20/1998,Female,Safety,Abuja,Average
Stf956918,Amery Ofer,8/29/2010,85000,12/25/1976,Female,Legal,Abuja,Very Good
Stf202197,Aube Chadderton,8/30/2010,73000,12/23/1987,Female,Human Resources,Abuja,Average
Stf252748,Michaella Perri,8/31/2010,38000,12/27/1970,Male,Training,Lagos,Very Poor
Stf755215,Mord Cromblehome,9/1/2010,24000,12/19/1982,Male,Legal,Kaduna,Average
Stf796875,Major O'Cahsedy,9/2/2010,80000,12/20/1996,Female,Legal,Abuja,Not Rated
Stf172578,Joana Bartocci,9/3/2010,25000,12/24/1982,Male,Human Resources,Kaduna,Average
Stf486461,Sly Cowley,9/4/2010,47000,12/21/1993,Male,Finance,Abuja,Average
Stf997789,Augusta Cheetham,9/5/2010,55000,12/21/1993,Male,Sales,Abuja,Average
Stf545328,Diarmid Alman,9/6/2010,99000,12/20/1999,Female,Training,Abuja,Poor
Stf909599,Gearard Wixon,9/7/2010,33000,12/22/1989,Male,Human Resources,Abuja,Very Good
Stf897397,Kaye Crocroft,9/8/2010,99000,12/18/1989,Male,Sales,Lagos,Poor
Stf357955,Egor Minto,9/9/2010,45000,12/24/1980,,Legal,Abuja,Good
Stf265122,Bren Absolon,9/10/2010,5000,12/27/1971,Male,Finance,Abuja,Good
Stf524930,Alexine Portail,9/11/2010,10000,12/27/1971,Female,Sales,Lagos,Average
Stf992930,Duffie Ibel,9/12/2010,1000,12/20/1998,Male,Sales,Kaduna,Average
Stf610664,Gilles Jaquet,9/13/2010,67000,12/21/1992,Female,Finance,Kaduna,Not Rated
Stf595659,Payton Pickervance,9/14/2010,38000,12/26/1974,Male,Marketing,Kaduna,Average
Stf744302,Barny Fairweather,9/15/2010,82000,12/25/1979,Male,Marketing,Lagos,Very Poor
Stf631994,Margot Royds,9/16/2010,12000,12/25/1979,Female,Human Resources,Lagos,Average
Stf619930,Frederik Dartan,9/17/2010,87000,12/24/1981,Male,Engineering,Abuja,Very Good
Stf502906,Aubert Wedmore.,9/18/2010,63000,12/18/1989,Female,Marketing,Lagos,Average
Stf157512,Krystal Lambswood,9/19/2010,39000,12/25/1978,Female,Training,Abuja,Not Rated
Stf475088,Nanice Boatwright,9/20/2010,93000,12/18/1989,,Marketing,Abuja,Very Poor
Stf388829,Northrup Aires,9/21/2010,7000,12/20/1997,Female,Human Resources,Kaduna,Average
Stf429393,Janina Wolverson,9/22/2010,22000,12/24/1980,Female,Sales,Kaduna,Good
Stf968416,Floria Olivia,9/23/2010,84000,12/24/1982,Female,Sales,Abuja,Good
Stf634273,Andrea Becker,9/24/2010,56000,12/18/1989,Female,Human Resources,Kaduna,Average
Stf609499,Louise Lamming,9/25/2010,19000,12/27/1971,Female,Sales,Lagos,Average
Stf944212,Renaldo Thomassin,9/26/2010,86000,12/23/1984,Male,Business Development,Kaduna,Average
Stf444934,Carmel Pancoust,9/27/2010,85000,12/21/1994,Female,Cxc,Abuja,Good
Stf223171,Tatum Hush,9/28/2010,14000,12/24/1981,Female,Human Resources,Abuja,Good
Stf413142,Aldrich Glenny,9/29/2010,55000,12/25/1977,Male,Business Development,Kaduna,Average
Stf493017,Calvin O'Carroll,9/30/2010,99000,12/24/1983,Female,Sales,Kaduna,Very Poor
Stf369049,Griz Thorington,10/1/2010,24000,12/22/1989,Male,Safety,Abuja,Average
Stf506968,Greta Bagehot,10/2/2010,32000,12/26/1972,Female,,Kaduna,Not Rated
Stf520021,Eddy Stolze,10/3/2010,35000,12/18/1989,Male,Training,Kaduna,Average
Stf348025,L;urette Bontein,10/4/2010,34000,12/20/1997,Male,Product,Abuja,Good
Stf286805,Cindee Saice,10/5/2010,47000,12/26/1975,Female,Cxc,Abuja,Very Good
Stf852412,Erin Androsik,10/6/2010,78000,12/25/1978,Male,Human Resources,Kaduna,Poor
Stf989463,Genovera Ghost,10/7/2010,18000,12/21/1995,Male,Marketing,Kaduna,Average
Stf558014,Felicdad Heibel,10/8/2010,39000,12/19/1970,Male,Business Development,Abuja,Average
Stf658311,Jobey Boneham,10/9/2010,15000,12/18/1989,Female,Cxc,Kaduna,Average
Stf977814,Radcliffe Fairpool,10/10/2010,69000,12/23/1984,Female,Cxc,Lagos,Very Good
Stf769856,Gigi Bohling,10/11/2010,53000,12/21/1994,Male,Engineering,Lagos,Average
Stf398327,Gare Mattiussi,10/12/2010,91000,12/23/1987,Male,Engineering,Abuja,Poor
Stf607736,Carlin Demke,10/13/2010,52000,12/27/1971,Male,Business Development,Lagos,Good
Stf503046,Wilt Wayvill,10/14/2010,26000,12/24/1982,Female,Legal,Kaduna,Average
Stf848652,Ardyce Eacott,10/15/2010,26000,12/19/1970,Female,Human Resources,Kaduna,Average
