StaffID,Name,Date Employed,Month Employed,Month (Text),Day Employed,Year Employed,Salary,Date of Birth,Age,Age Groups,Gender,Department,Location,Rating
Stf649390,Karlen McCaffrey,2/26/2010,2,Feb,26,2010,39000,12/21/1992,32,Adults (36 - 45),Female,Cxc,Kaduna,Very Poor
Stf565473,Jordain Sparkwill,2/27/2010,2,Feb,27,2010,87000,12/25/1979,45,Middle Age (46 - 55),Female,Product,Abuja,Good
Stf412261,Billie Croucher,2/28/2010,2,Feb,28,2010,75000,12/24/1980,44,Adults (36 - 45),Female,Engineering,Kaduna,Poor
Stf464378,Izzy Brisco,3/1/2010,3,Mar,1,2010,75000,12/26/1972,52,Middle Age (46 - 55),Female,Marketing,Abuja,Average
Stf405438,Ignacius Losel,3/2/2010,3,Mar,2,2010,32000,12/26/1975,49,Middle Age (46 - 55),Male,Legal,Kaduna,Good
Stf960613,Peggi Bullas,3/3/2010,3,Mar,3,2010,94000,12/17/1992,32,Adults (36 - 45),Male,Safety,Abuja,Average
Stf638971,Bab Bridger,3/4/2010,3,Mar,4,2010,58000,12/19/1983,41,Adults (36 - 45),Male,Not Specified,Kaduna,Average
Stf494944,Dyna Doucette,3/5/2010,3,Mar,5,2010,25000,12/23/1984,40,Adults (36 - 45),Male,Sales,Abuja,Average
Stf343323,Marcellina Kitt,3/6/2010,3,Mar,6,2010,21000,12/24/1984,40,Adults (36 - 45),Female,Business Development,Kaduna,Very Good
Stf687139,Shela Goade,3/7/2010,3,Mar,7,2010,24000,12/25/1984,40,Adults (36 - 45),Male,Legal,Kaduna,Good
Stf542806,Gwenneth Fealey,3/8/2010,3,Mar,8,2010,84000,12/25/1976,48,Middle Age (46 - 55),Female,Not Specified,Abuja,Average
Stf471910,Kerrie Cockshutt,3/9/2010,3,Mar,9,2010,62000,12/25/1977,47,Middle Age (46 - 55),Male,Not Specified,Lagos,Average
Stf554013,Christopher Kezourec,3/10/2010,3,Mar,10,2010,100000,12/26/1977,47,Middle Age (46 - 55),Male,Training,Kaduna,Very Poor
Stf359846,Larry Pioch,3/11/2010,3,Mar,11,2010,90000,12/25/1976,48,Middle Age (46 - 55),Male,Sales,Abuja,Poor
Stf109264,Bethanne Shoppee,3/12/2010,3,Mar,12,2010,38000,12/17/1981,43,Adults (36 - 45),Female,Safety,Abuja,Good
Stf623352,Reidar Skechley,3/13/2010,3,Mar,13,2010,15000,12/27/1970,54,Middle Age (46 - 55),Male,Product,Abuja,Average
Stf805037,Bari Toffano,3/14/2010,3,Mar,14,2010,34000,12/22/1991,33,Adults (36 - 45),Male,Product,Kaduna,Poor
Stf607590,Robinia Scholling,3/15/2010,3,Mar,15,2010,21000,12/22/1991,33,Adults (36 - 45),Female,Human Resources,Kaduna,Average
Stf575407,Grover Cooksey,3/16/2010,3,Mar,16,2010,58000,12/22/1990,34,Adults (36 - 45),Other,Cxc,Kaduna,Poor
Stf966410,Layton Crayden,3/17/2010,3,Mar,17,2010,100000,12/23/1985,39,Adults (36 - 45),Male,Product,Kaduna,Average
Stf990485,Marlowe Constantine,3/18/2010,3,Mar,18,2010,18000,12/27/1969,55,Middle Age (46 - 55),Male,Cxc,Abuja,Average
Stf723293,Rhianna McLeoid,3/19/2010,3,Mar,19,2010,11000,12/23/1984,40,Adults (36 - 45),Male,Legal,Kaduna,Average
Stf379856,Alida Welman,3/20/2010,3,Mar,20,2010,81000,12/23/1984,40,Adults (36 - 45),Male,Human Resources,Kaduna,Average
Stf857285,Jacobo Lasham,3/21/2010,3,Mar,21,2010,73000,12/23/1985,39,Adults (36 - 45),Female,Cxc,Kaduna,Very Poor
Stf681014,Rhody Odhams,3/22/2010,3,Mar,22,2010,23000,12/20/1998,26,Adults (36 - 45),Male,Training,Lagos,Good
Stf913936,Zach Polon,3/23/2010,3,Mar,23,2010,67000,12/24/1980,44,Adults (36 - 45),Male,Marketing,Kaduna,Poor
Stf112799,Taddeo Jovis,3/24/2010,3,Mar,24,2010,99000,12/21/1992,32,Adults (36 - 45),Female,Sales,Abuja,Poor
Stf341239,Katerine Lohden,3/25/2010,3,Mar,25,2010,80000,12/26/1972,52,Middle Age (46 - 55),Male,Safety,Kaduna,Average
Stf473839,Jakob Philippe,3/26/2010,3,Mar,26,2010,46000,12/22/1988,36,Adults (36 - 45),Male,Marketing,Kaduna,Good
Stf950565,Monroe Hendrickx,3/27/2010,3,Mar,27,2010,60000,12/21/1993,31,Adults (36 - 45),Male,Finance,Kaduna,Not Rated
Stf265982,Fred Dudeney,3/28/2010,3,Mar,28,2010,2000,12/23/1985,39,Adults (36 - 45),Male,Cxc,Lagos,Poor
Stf602600,Brose MacCorkell,3/29/2010,3,Mar,29,2010,5000,12/27/1971,53,Middle Age (46 - 55),Female,Human Resources,Kaduna,Average
Stf642739,Madelene Upcott,3/30/2010,3,Mar,30,2010,60000,12/18/1991,33,Adults (36 - 45),Male,Legal,Abuja,Average
Stf618287,Cara Havers,3/31/2010,3,Mar,31,2010,74000,12/27/1971,53,Middle Age (46 - 55),Male,Marketing,Lagos,Good
Stf782717,Gisella Mewe,4/1/2010,4,Apr,1,2010,35000,12/19/1980,44,Adults (36 - 45),Female,Safety,Abuja,Good
Stf814756,Daryn Kniveton,4/2/2010,4,Apr,2,2010,21000,12/18/1985,39,Adults (36 - 45),Female,Marketing,Lagos,Poor
Stf688058,Stormy Church,4/3/2010,4,Apr,3,2010,67000,12/27/1969,55,Middle Age (46 - 55),Male,Sales,Lagos,Very Poor
Stf166271,Cull Nannetti,4/4/2010,4,Apr,4,2010,59000,12/27/1970,54,Middle Age (46 - 55),Male,Safety,Kaduna,Average
Stf607876,Shirlene Argo,4/5/2010,4,Apr,5,2010,42000,12/20/1998,26,Adults (36 - 45),Female,Cxc,Abuja,Not Rated
Stf390158,Konstanze Wyleman,4/6/2010,4,Apr,6,2010,41000,12/20/1989,35,Adults (36 - 45),Male,Engineering,Abuja,Average
Stf686698,Vernor Atyea,4/7/2010,4,Apr,7,2010,42000,12/20/1987,37,Adults (36 - 45),Female,Training,Kaduna,Good
Stf757750,Pedro St. Hill,4/8/2010,4,Apr,8,2010,78000,12/25/1978,46,Middle Age (46 - 55),Male,Engineering,Lagos,Average
Stf837895,Tris Hynard,4/9/2010,4,Apr,9,2010,19000,12/18/1986,38,Adults (36 - 45),Female,Product,Kaduna,Average
Stf330320,Calvin O'Carroll,4/10/2010,4,Apr,10,2010,67000,12/20/1981,43,Adults (36 - 45),Female,Sales,Abuja,Very Good
Stf842126,Jessica Burditt,4/11/2010,4,Apr,11,2010,90000,12/24/1983,41,Adults (36 - 45),Female,Cxc,Kaduna,Average
Stf420020,Aurelea Devitt,4/12/2010,4,Apr,12,2010,58000,12/26/1974,50,Middle Age (46 - 55),Male,Safety,Abuja,Average
Stf670772,Meryl Waggatt,4/13/2010,4,Apr,13,2010,65000,12/25/1976,48,Middle Age (46 - 55),Female,Business Development,Kaduna,Good
Stf975818,Corri Ellcome,4/14/2010,4,Apr,14,2010,39000,12/22/1990,34,Adults (36 - 45),Female,Not Specified,Kaduna,Average
Stf134373,Evyn Fyrth,4/15/2010,4,Apr,15,2010,90000,12/26/1973,51,Middle Age (46 - 55),Male,Safety,Kaduna,Average
Stf794437,Car Laden,4/16/2010,4,Apr,16,2010,42000,12/23/1986,38,Adults (36 - 45),Male,Product,Lagos,Average
Stf556067,Sarene Creeboe,4/17/2010,4,Apr,17,2010,28000,12/17/1988,36,Adults (36 - 45),Male,Product,Kaduna,Average
Stf656290,Steven Labat,4/18/2010,4,Apr,18,2010,86000,12/19/1980,44,Adults (36 - 45),Male,Legal,Kaduna,Average
Stf370029,Lindy Guillet,4/19/2010,4,Apr,19,2010,50000,12/21/1992,32,Adults (36 - 45),Male,Training,Abuja,Poor
Stf386421,Loren Rettie,4/20/2010,4,Apr,20,2010,33000,12/21/1994,30,Adults (36 - 45),Female,Engineering,Kaduna,Average
Stf844904,Daron Biaggioli,4/21/2010,4,Apr,21,2010,61000,12/18/1985,39,Adults (36 - 45),Female,Product,Kaduna,Average
Stf640439,Georg Dinnage,4/22/2010,4,Apr,22,2010,77000,12/20/1996,28,Adults (36 - 45),Male,Training,Kaduna,Poor
Stf332249,Ewart Hovel,4/23/2010,4,Apr,23,2010,51000,12/24/1980,44,Adults (36 - 45),Female,Training,Lagos,Good
Stf415456,Archaimbaud Pinchin,4/24/2010,4,Apr,24,2010,52000,12/23/1987,37,Adults (36 - 45),Male,Marketing,Kaduna,Average
Stf439968,Mile Swindley,4/25/2010,4,Apr,25,2010,66000,12/25/1976,48,Middle Age (46 - 55),Other,Business Development,Kaduna,Average
Stf186027,Garwood Penhale,4/26/2010,4,Apr,26,2010,71000,12/23/1985,39,Adults (36 - 45),Female,Business Development,Kaduna,Very Good
Stf730751,Valentia Etteridge,4/27/2010,4,Apr,27,2010,5000,12/27/1970,54,Middle Age (46 - 55),Female,Business Development,Lagos,Average
Stf765085,Courtney Given,4/28/2010,4,Apr,28,2010,83000,12/23/1987,37,Adults (36 - 45),Male,Engineering,Abuja,Average
Stf845508,Claudetta Petherick,4/29/2010,4,Apr,29,2010,47000,12/25/1978,46,Middle Age (46 - 55),Female,Legal,Abuja,Poor
Stf589880,Eberto William,4/30/2010,4,Apr,30,2010,63000,12/20/1997,27,Adults (36 - 45),Female,Sales,Abuja,Average
Stf151812,Bernie Gorges,5/1/2010,5,May,1,2010,97000,12/21/1994,30,Adults (36 - 45),Female,Training,Lagos,Average
Stf432916,Myrle Prandoni,5/2/2010,5,May,2,2010,22000,12/23/1985,39,Adults (36 - 45),Male,Sales,Kaduna,Very Good
Stf317333,Josepha Keningham,5/3/2010,5,May,3,2010,59000,12/26/1972,52,Middle Age (46 - 55),Male,Human Resources,Kaduna,Average
Stf237888,Garrick Hadwick,5/4/2010,5,May,4,2010,40000,12/24/1980,44,Adults (36 - 45),Male,Safety,Abuja,Average
Stf908275,Nessy Baskwell,5/5/2010,5,May,5,2010,39000,12/25/1979,45,Middle Age (46 - 55),Male,Cxc,Kaduna,Average
Stf680620,Rosco Cogley,5/6/2010,5,May,6,2010,32000,12/18/1989,35,Adults (36 - 45),Male,Cxc,Abuja,Average
Stf612816,Tulley Chiddy,5/7/2010,5,May,7,2010,62000,12/19/1970,54,Middle Age (46 - 55),Female,Finance,Abuja,Average
Stf455002,Camille Baldinotti,5/8/2010,5,May,8,2010,27000,12/23/1984,40,Adults (36 - 45),Female,Product,Lagos,Good
Stf489544,Dave Lacoste,5/9/2010,5,May,9,2010,22000,12/18/1989,35,Adults (36 - 45),Male,Legal,Abuja,Average
Stf983928,Crawford Scad,5/10/2010,5,May,10,2010,88000,12/21/1995,29,Adults (36 - 45),Male,Human Resources,Kaduna,Average
Stf240894,Larry Pioch,5/11/2010,5,May,11,2010,62000,12/24/1983,41,Adults (36 - 45),Male,Sales,Abuja,Good
Stf555234,Judie Di Bernardo,5/12/2010,5,May,12,2010,38000,12/24/1980,44,Adults (36 - 45),Male,Finance,Abuja,Average
Stf111587,Kakalina Stanaway,5/13/2010,5,May,13,2010,62000,12/27/1970,54,Middle Age (46 - 55),Male,Human Resources,Kaduna,Poor
Stf382635,Max Shower,5/14/2010,5,May,14,2010,30000,12/24/1981,43,Adults (36 - 45),Male,Training,Kaduna,Not Rated
Stf312065,Juditha Hatherleigh,5/15/2010,5,May,15,2010,71000,12/21/1992,32,Adults (36 - 45),Female,Human Resources,Kaduna,Average
Stf991662,Lanny Beaney,5/16/2010,5,May,16,2010,25000,12/20/1999,25,Adults (36 - 45),Male,Legal,Abuja,Average
Stf666932,Jim Perrygo,5/17/2010,5,May,17,2010,50000,12/18/1989,35,Adults (36 - 45),Male,Cxc,Lagos,Good
Stf630600,Shannen Crittal,5/18/2010,5,May,18,2010,11000,12/20/1998,26,Adults (36 - 45),Female,Engineering,Kaduna,Good
Stf488388,Katya Hundy,5/19/2010,5,May,19,2010,50000,12/27/1971,53,Middle Age (46 - 55),Male,Business Development,Lagos,Average
Stf206424,Cordelia Djuricic,5/20/2010,5,May,20,2010,32000,12/21/1993,31,Adults (36 - 45),Female,Human Resources,Abuja,Very Poor
Stf474670,Emory Whitten,5/21/2010,5,May,21,2010,7000,12/23/1986,38,Adults (36 - 45),Female,Product,Lagos,Not Rated
Stf345741,Philis Rowlstone,5/22/2010,5,May,22,2010,51000,12/22/1989,35,Adults (36 - 45),Female,Human Resources,Lagos,Average
Stf333487,Fedora Graffin,5/23/2010,5,May,23,2010,65000,12/22/1990,34,Adults (36 - 45),Male,Sales,Lagos,Good
Stf480722,Marjie Bamford,5/24/2010,5,May,24,2010,39000,12/26/1973,51,Middle Age (46 - 55),Male,Sales,Abuja,Very Good
Stf230458,Doe Clubley,5/25/2010,5,May,25,2010,27000,12/27/1970,54,Middle Age (46 - 55),Female,Product,Kaduna,Not Rated
Stf860042,Adella Hartshorne,5/26/2010,5,May,26,2010,81000,12/22/1989,35,Adults (36 - 45),Female,Human Resources,Abuja,Good
Stf662548,Barney Bonafant,5/27/2010,5,May,27,2010,28000,12/23/1985,39,Adults (36 - 45),Female,Engineering,Abuja,Poor
Stf284818,Nessi Delves,5/28/2010,5,May,28,2010,16000,12/21/1993,31,Adults (36 - 45),Male,Training,Kaduna,Very Good
Stf756510,Addi Studdeard,5/29/2010,5,May,29,2010,33000,12/19/1982,42,Adults (36 - 45),Female,Product,Lagos,Very Poor
Stf369546,Benoite Ackermann,5/30/2010,5,May,30,2010,96000,12/23/1985,39,Adults (36 - 45),Female,Cxc,Abuja,Average
Stf392318,Sharity Brands,5/31/2010,5,May,31,2010,58000,12/26/1974,50,Middle Age (46 - 55),Male,Product,Abuja,Very Poor
Stf128039,Cassondra Giottini,6/1/2010,6,Jun,1,2010,72000,12/18/1989,35,Adults (36 - 45),Male,Marketing,Kaduna,Not Rated
Stf751607,Beryl Burnsyde,6/2/2010,6,Jun,2,2010,24000,12/22/1991,33,Adults (36 - 45),Male,Legal,Lagos,Good
Stf684362,Ollie Schirak,6/3/2010,6,Jun,3,2010,7000,12/26/1973,51,Middle Age (46 - 55),Male,Legal,Lagos,Average
Stf591109,Amaleta Baltzar,6/4/2010,6,Jun,4,2010,23000,12/18/1989,35,Adults (36 - 45),Other,Sales,Lagos,Very Poor
Stf308774,Katya Hundy,6/5/2010,6,Jun,5,2010,7000,12/18/1989,35,Adults (36 - 45),Male,Business Development,Kaduna,Poor
Stf841090,Wyn Treadger,6/6/2010,6,Jun,6,2010,24000,12/21/1994,30,Adults (36 - 45),Female,Business Development,Abuja,Average
Stf478660,Orton Livick,6/7/2010,6,Jun,7,2010,88000,12/25/1978,46,Middle Age (46 - 55),Male,Cxc,Abuja,Average
Stf428792,Haven Belward,6/8/2010,6,Jun,8,2010,92000,12/18/1989,35,Adults (36 - 45),Male,Finance,Lagos,Good
Stf464474,Yasmeen Klimkiewich,6/9/2010,6,Jun,9,2010,58000,12/27/1970,54,Middle Age (46 - 55),Female,Legal,Abuja,Very Good
Stf426864,Kristofor Powner,6/10/2010,6,Jun,10,2010,37000,12/25/1976,48,Middle Age (46 - 55),Male,Safety,Lagos,Average
Stf240672,Phillipp Nekrews,6/11/2010,6,Jun,11,2010,28000,12/19/1970,54,Middle Age (46 - 55),Male,Human Resources,Kaduna,Very Good
Stf326804,Delora Arendt,6/12/2010,6,Jun,12,2010,88000,12/25/1979,45,Middle Age (46 - 55),Female,Marketing,Abuja,Good
Stf921652,Archibaldo Denny,6/13/2010,6,Jun,13,2010,51000,12/22/1991,33,Adults (36 - 45),Female,Product,Lagos,Not Rated
Stf837395,Jeane Blaszczak,6/14/2010,6,Jun,14,2010,90000,12/20/1999,25,Adults (36 - 45),Female,Engineering,Lagos,Good
Stf922692,Codi Beck,6/15/2010,6,Jun,15,2010,78000,12/23/1987,37,Adults (36 - 45),Female,Business Development,Lagos,Poor
Stf608143,Faunie Sinton,6/16/2010,6,Jun,16,2010,32000,12/18/1989,35,Adults (36 - 45),Female,Sales,Abuja,Good
Stf445885,Nicol Giacomi,6/17/2010,6,Jun,17,2010,51000,12/23/1986,38,Adults (36 - 45),Female,Training,Kaduna,Average
Stf377713,Crawford Scad,6/18/2010,6,Jun,18,2010,88000,12/19/1970,54,Middle Age (46 - 55),Male,Human Resources,Lagos,Average
Stf791079,Vassili Flay,6/19/2010,6,Jun,19,2010,6000,12/25/1978,46,Middle Age (46 - 55),Other,Sales,Abuja,Average
Stf147369,Halimeda Kuscha,6/20/2010,6,Jun,20,2010,99000,12/22/1990,34,Adults (36 - 45),Female,Engineering,Abuja,Poor
Stf291812,Charmaine Howie,6/21/2010,6,Jun,21,2010,13000,12/21/1992,32,Adults (36 - 45),Male,Finance,Kaduna,Poor
Stf179409,Norrie Grahl,6/22/2010,6,Jun,22,2010,64000,12/24/1980,44,Adults (36 - 45),Other,Business Development,Abuja,Poor
Stf376252,Ulick Maingot,6/23/2010,6,Jun,23,2010,40000,12/19/1970,54,Middle Age (46 - 55),Female,Cxc,Kaduna,Average
Stf420605,Millie Fiveash,6/24/2010,6,Jun,24,2010,67000,12/27/1971,53,Middle Age (46 - 55),Female,Sales,Kaduna,Average
Stf153133,Kayley Southwell,6/25/2010,6,Jun,25,2010,32000,12/23/1985,39,Adults (36 - 45),Female,Marketing,Kaduna,Average
Stf150639,Reena McKernan,6/26/2010,6,Jun,26,2010,24000,12/19/1982,42,Adults (36 - 45),Female,Marketing,Kaduna,Average
Stf222694,Seward Kubera,6/27/2010,6,Jun,27,2010,27000,12/25/1977,47,Middle Age (46 - 55),Male,Engineering,Abuja,Very Good
Stf555538,Rois Garrigan,6/28/2010,6,Jun,28,2010,61000,12/18/1989,35,Adults (36 - 45),Male,Finance,Kaduna,Poor
Stf412613,Euell Willoughley,6/29/2010,6,Jun,29,2010,90000,12/23/1985,39,Adults (36 - 45),Male,Product,Kaduna,Very Good
Stf326117,Lindi Morfey,6/30/2010,6,Jun,30,2010,5000,12/23/1987,37,Adults (36 - 45),Male,Training,Kaduna,Good
Stf438949,Gradey Litton,7/1/2010,7,Jul,1,2010,74000,12/25/1977,47,Middle Age (46 - 55),Female,Finance,Kaduna,Good
Stf481414,Iris Wagg,7/2/2010,7,Jul,2,2010,12000,12/19/1970,54,Middle Age (46 - 55),Female,Not Specified,Kaduna,Average
Stf792077,Angeline Christophersen,7/3/2010,7,Jul,3,2010,8000,12/22/1989,35,Adults (36 - 45),Female,Engineering,Kaduna,Average
Stf417125,Farrel Vanyatin,7/4/2010,7,Jul,4,2010,17000,12/24/1983,41,Adults (36 - 45),Male,Safety,Lagos,Average
Stf247625,Kienan Epinay,7/5/2010,7,Jul,5,2010,4000,12/19/1982,42,Adults (36 - 45),Male,Marketing,Kaduna,Poor
Stf479045,Aloisia Minto,7/6/2010,7,Jul,6,2010,1000,12/17/1988,36,Adults (36 - 45),Male,Sales,Abuja,Good
Stf802414,Melisa Knott,7/7/2010,7,Jul,7,2010,97000,12/20/1996,28,Adults (36 - 45),Female,Training,Kaduna,Average
Stf261503,Koral Gerriet,7/8/2010,7,Jul,8,2010,97000,12/18/1989,35,Adults (36 - 45),Male,Safety,Abuja,Average
Stf235392,Constantino Espley,7/9/2010,7,Jul,9,2010,4000,12/18/1989,35,Adults (36 - 45),Male,Finance,Abuja,Average
Stf730803,Desi Peniman,7/10/2010,7,Jul,10,2010,9000,12/19/1970,54,Middle Age (46 - 55),Female,Legal,Lagos,Average
Stf193575,Torrance Collier,7/11/2010,7,Jul,11,2010,8000,12/23/1987,37,Adults (36 - 45),Female,Training,Lagos,Good
